Subnum,Task,Condition,Gender,Ethnicity,Race,Age,image_name,naturalness,disorderliness,aesthetic,Order,BestOption,HighFreqOption,Hue,Bright,Saturaton,SDhue,SDsat,Sdbright,Entropy,Perc_Nat,pc1f,pc2f,pc3f,pc4f,SED,total_ED,NSED
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli164,7.0,1.0,7.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli231,2.0,5.0,3.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli11,4.0,4.0,4.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli18,4.0,4.0,4.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli256,3.0,2.0,3.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli120,6.0,3.0,4.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli133,2.0,5.0,6.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli150,5.0,3.0,5.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli149,7.0,1.0,7.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli200,3.0,5.0,4.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli136,3.0,2.0,3.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
253,ImageRating,Control,Female,Not Hispanic or Latino,White,18,edgeStimuli205,3.0,5.0,4.0,IGT_SGT,0,0,,,,,,,,,,,,,,,
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS113,2.0,2.0,2.0,IGT_SGT,0,0,0.365525389,0.354565188,0.266624948,0.239281157,0.206243576,0.22752546,7.724085125,2.175289745,-0.040620957,-0.06096185,-0.047364875,-0.04829495,0.028769274,0.144463334,0.140156075
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS47,1.0,7.0,4.0,IGT_SGT,0,0,0.383424311,0.589974792,0.463556264,0.287059896,0.265663908,0.191520607,7.249117766,1.477584478,-0.037566738,0.045806912,-0.00178122,-0.010487461,0.086593807,0.098038976,0.103111642
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban5,1.0,7.0,5.0,IGT_SGT,0,0,0.173927101,0.479312173,0.098343931,0.264241097,0.166226914,0.290207499,7.197657434,1.169342022,-0.075367643,-0.009880804,-0.01940276,0.122335007,0.064427694,0.087791443,0.113506079
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban37,1.0,6.0,5.0,IGT_SGT,0,0,0.224248685,-0.609919137,0.088957704,0.147392906,0.140266826,0.326557819,7.251991638,1.230769231,-0.049256737,-0.088086588,0.062517848,0.010149085,0.115992593,0.089796296,0.03357037
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban4,1.0,7.0,6.0,IGT_SGT,0,0,0.135674235,-0.232370978,0.112951896,0.307104713,0.196209742,0.313201368,7.163706471,1.283489412,-0.068772854,-0.017895051,-0.021917328,0.12370282,0.037450155,0.086776733,0.129901647
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS16,1.0,7.0,6.0,IGT_SGT,0,0,0.151689861,2.07128284,0.358936791,0.170167438,0.261241087,0.225372993,7.750548801,1.420888552,-0.049112954,-0.088840387,0.077456406,-0.031714499,0.080689225,0.10385188,0.095036406
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS176,4.0,7.0,6.0,IGT_SGT,0,0,0.146440369,1.636024403,0.370880833,0.071703474,0.28740782,0.266094185,7.318366063,2.241515477,-0.088198636,0.181227594,-0.010657932,0.008712847,0.07322508,0.112584113,0.143663887
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS17,1.0,6.0,4.0,IGT_SGT,0,0,0.369480919,-0.25457939,0.183601148,0.323246908,0.208944208,0.239683738,7.396871419,1.627396205,-0.080701052,-0.028310193,0.057482572,0.010647933,0.085720062,0.109518687,0.081955989
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban44,1.0,6.0,4.0,IGT_SGT,0,0,0.209435407,0.792952297,0.064525026,0.093025681,0.107969911,0.251434409,7.687678003,1.366278302,-0.068976877,-0.022860592,0.016091622,0.079741213,0.124762963,0.111425926,0.0
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS81,3.0,7.0,6.0,IGT_SGT,0,0,0.323279316,1.475507964,0.21090248,0.218461164,0.152057811,0.217950899,7.104054891,1.950125923,-0.042515896,-0.06820252,0.065951587,-0.03357856,0.200080927,0.08360476,0.017485956
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,MDS111,5.0,5.0,4.0,IGT_SGT,0,0,0.273492094,-0.000996418,0.311941102,0.173811953,0.211308221,0.213261865,7.706700689,2.180595629,-0.049211509,0.003537121,-0.081179493,0.092535756,0.070776622,0.117997487,0.12512819
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban8,1.0,5.0,4.0,IGT_SGT,0,0,0.130577506,0.852673403,0.060703525,0.230460835,0.129382586,0.199052832,7.256433972,1.640887084,-0.057909679,-0.009651612,0.025908653,0.02497138,0.062372987,0.101158042,0.106779238
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban16,1.0,6.0,3.0,IGT_SGT,0,0,0.185661453,0.445608273,0.091001672,0.102806168,0.131860152,0.312890693,7.064976494,1.163461539,-0.069153874,-0.026853091,0.096711386,0.010288885,0.124961896,0.069530178,0.06193248
254,ImageRating,Urban,Female,Not Hispanic or Latino,More than one Race,18,Urban46,5.0,6.0,6.0,IGT_SGT,0,0,0.228113502,-1.477784973,0.082496765,0.29166971,0.150951878,0.305469825,7.009503804,2.127816763,-0.05076963,-0.115412937,0.061519533,0.052000368,0.035757576,0.088558758,0.138155169
