,Subnum,naturalness,disorderliness,aesthetic,Hue,SDHue,Bright,SDBright,Saturaton,SDSat,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,MeanTexture,SDTexture,Entropy,EdgeCount,CornerMean,CornerSD,CornerCount,ContourMeanLength,ContourSDLength,ContourMeanArea,ContourSDArea,ContourCount,AsymmetryV,AsymmetryH,KPMeanSize,KPSDSize,KPMeanStrength,KPSDStrength,KPMeanAngle,KPSDAngle,KPCount,sky,grass,plant,water,sea,fence,path,river,bench,pole,building,tree,earth,rock,streetlight,ashcan,table,wall,chair,signboard,stairs,pot,sculpture,sidewalk,railing,road,person,mountain,lake,floor,car,traffic light,Naturalness_PCA,Semantic_PC1
10,11,4.04,4.06,4.36,75.858738875,39.45815293018944,137.10180945833335,66.02731985978579,64.45432008333333,43.144915338406015,707.4636889526473,13.966392504078124,0.23238228164176267,0.03634569662088624,0.9035917984134687,122.78658557080327,64.31431694173438,8.869883223386081,0.13068324999999997,119.44157319234724,53.4532187791458,1293.48,84.86257688919899,268.71415715566786,28.53715261717931,222.6876688298292,1438.08,54.25453125,74.81568874999999,4.117794915352278,5.295901922701104,0.02897627994673061,0.014121562533579983,182.9076686439081,103.8329854045824,3702.62,0.158983154296875,0.03025634765625,0.038497314453125,0.000565185546875,0.0,0.019007568359375,0.0052490234375,0.000885009765625,0.0059130859375,0.000968017578125,0.3366015625,0.09960693359375,0.016578369140625,0.0002294921875,0.002164306640625,0.000572509765625,0.0001611328125,0.018870849609375,0.001156005859375,0.00338134765625,0.002362060546875,0.00284423828125,0.0003369140625,0.078250732421875,0.00135009765625,0.10036865234375,0.00107177734375,0.0,0.0,0.017647705078125,0.024049072265625,0.001259765625,0.5469643119209825,-1.536622802502743
11,12,3.46,3.1,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,5.2,4.7,5.9,56.64594441666666,28.955318449529376,132.826016125,69.73280225815076,98.070270875,57.14473145152868,1133.721483281135,20.061295944870874,0.17275136726056542,0.034534714559959115,0.8578927700306143,118.86100724375702,65.75557808193689,9.28872178769146,0.222966125,117.8226988113831,53.052520717568534,2007.96,57.08726334832304,262.41038802225273,19.233915803803775,173.6058868755471,3077.98,50.06225275,82.68142458333334,3.4245197033628134,3.9675647715418205,0.03074779574543063,0.014062554871270077,180.62424813524257,101.83126478625952,5991.1,0.175537109375,0.0390673828125,0.1323876953125,0.05783447265625,0.029625244140625,0.000440673828125,0.01354736328125,0.00994140625,0.00169189453125,3.0517578125e-05,0.000709228515625,0.369635009765625,0.05171142578125,0.04350830078125,6.103515625e-06,0.0,6.103515625e-06,0.00043212890625,1.0986328125e-05,3.662109375e-06,6.103515625e-05,0.000118408203125,1.220703125e-06,0.0036669921875,1.220703125e-06,0.003446044921875,1.220703125e-06,0.03535400390625,0.011402587890625,0.0,0.0,0.0,0.9135756206772512,1.6439618310821178
13,14,3.06,4.4,4.0,82.44084416666666,40.0620290446391,137.46541349999998,67.39092723065261,63.114207875000005,41.46817660273174,678.6218488213501,13.298511116998059,0.24723184118592267,0.034404134109682794,0.9120406418867191,122.78456252755416,65.53179634345116,8.762750091092993,0.12039054166666664,117.78477047541331,53.658409219074905,1192.52,85.92542115035037,250.5760940271063,27.629717454534003,172.7652178549115,1302.26,51.61661433333334,77.08896716666668,4.106678945191272,5.2719143868257845,0.029339391529054105,0.014383064758545387,184.22368206908405,104.36621352152187,3472.42,0.187027587890625,0.02434814453125,0.031820068359375,0.000565185546875,0.0,0.013017578125,0.00559326171875,0.000885009765625,0.003516845703125,0.000316162109375,0.32994384765625,0.094122314453125,0.01292724609375,0.000113525390625,0.00128662109375,0.0017138671875,4.39453125e-05,0.017816162109375,0.001368408203125,0.001888427734375,0.000159912109375,0.000240478515625,0.000228271484375,0.08397216796875,0.001116943359375,0.115704345703125,0.0024169921875,0.000731201171875,0.0,0.00964599609375,0.0265966796875,0.00085693359375,0.5585695033671635,-1.4359404375512759
14,15,6.4,5.44,5.5,57.65042208333333,29.694072402297685,134.43301120833334,68.46003091740528,93.05961645833332,56.40769719112755,1053.2202293083483,19.2360216237111,0.18608604835492015,0.039149915962173314,0.8637415728476425,121.24974891770881,64.9437934346498,9.180439912966213,0.21730804166666665,116.97333719552088,52.41817459177535,1975.2,58.2213178801058,273.36365760778244,19.115566171642037,175.44791157322842,2985.46,47.17386783333333,82.18991083333334,3.4346133119126083,3.930069471049986,0.029894221086558207,0.013605896192341533,180.36090760483913,101.35426484286448,5707.7,0.1772314453125,0.04970458984375,0.126517333984375,0.057027587890625,0.025843505859375,0.0004248046875,0.010904541015625,0.00877197265625,0.002789306640625,0.000147705078125,0.000772705078125,0.358802490234375,0.0721240234375,0.050184326171875,2.3193359375e-05,4.8828125e-06,0.00383544921875,0.000372314453125,0.00018310546875,0.00019287109375,6.103515625e-05,0.000118408203125,1.220703125e-06,8.544921875e-06,1.220703125e-06,0.002696533203125,0.0,0.021783447265625,0.01222412109375,0.0,0.0,0.0,0.9096133899092065,1.6095869768575901
15,16,5.78,6.04,5.18,56.148206333333334,27.31579708186189,133.016545,68.22177822205961,95.58409091666667,56.45723246288332,1131.7677131091434,20.24479602870455,0.16775189235617075,0.0321444875211358,0.8520824234719006,120.23874978523,64.86591201671982,9.318428515070615,0.22761599999999999,118.70275819175606,53.05244921146939,2049.72,57.27045619320555,274.37249662192903,19.015840231178885,175.02084413928745,3128.18,48.30608783333333,82.7284665,3.4191923869101912,3.914004133935967,0.03051882168745871,0.013956585076869999,180.3612934251369,101.78568791073457,5913.96,0.160408935546875,0.047811279296875,0.11631591796875,0.045760498046875,0.0267236328125,0.000955810546875,0.009412841796875,0.0077001953125,0.00291015625,3.90625e-05,0.001124267578125,0.39009033203125,0.083912353515625,0.05161865234375,7.32421875e-06,7.32421875e-06,0.003551025390625,0.001185302734375,2.44140625e-06,0.000189208984375,0.0,0.0,0.0,8.544921875e-06,0.0,0.002696533203125,1.220703125e-06,0.02639404296875,0.012320556640625,0.0,0.0,0.0,0.9151905549809478,1.657972406064139
16,17,1.8,4.12,4.8,78.03618904166666,39.41561343625414,136.17728558333334,66.91373337816141,66.291346,42.89603425769474,694.0705884983091,13.685357035012647,0.2353068842298328,0.03349308672665821,0.9058859644355712,120.9682320583227,65.0352787182207,8.82799018846563,0.12619266666666665,119.85194183627357,53.05732033225467,1248.68,85.42053083161339,276.8324917607575,31.115195810602263,246.9743870947381,1351.12,52.55242775,76.87483225,4.084091478422885,5.170607162845189,0.029426248604793974,0.01411802316766291,182.6834766662475,104.02155123517704,3621.62,0.16500244140625,0.03321533203125,0.03,0.000565185546875,0.0,0.0193798828125,0.00337158203125,0.000885009765625,0.00458740234375,0.00087890625,0.338463134765625,0.09973876953125,0.01273193359375,0.00017822265625,0.002220458984375,0.00057861328125,0.00015380859375,0.0221484375,0.000703125,0.002471923828125,0.002520751953125,0.00112060546875,0.000255126953125,0.089139404296875,0.00098388671875,0.098995361328125,0.001092529296875,0.0,0.0,0.0107275390625,0.02908203125,0.000472412109375,0.5541881160656229,-1.4739517394184765
17,18,2.66,4.9,4.18,80.11789195833333,42.98878018693431,141.15708704166667,65.39182438974936,63.25730958333334,40.928972163095274,716.10702229502,13.805898043143664,0.24065586402843817,0.04018423577931391,0.9042391724381095,125.31967895191305,63.87152331860839,8.804555893496435,0.1230608333333333,120.79439903022194,53.03715641714462,1260.18,85.30340958357607,250.76978299587626,30.809530015827836,199.994519147424,1336.3,51.647822999999995,73.02165,4.107012404999047,5.263728894835915,0.029680366692092616,0.014489616135991257,182.396167633665,103.85412329069983,3634.18,0.180733642578125,0.0241796875,0.03109375,0.00055908203125,0.0,0.02633544921875,0.00529541015625,0.000885009765625,0.003145751953125,0.001043701171875,0.3403662109375,0.079107666015625,0.01616455078125,0.0002294921875,0.0015673828125,0.002196044921875,0.000189208984375,0.02071533203125,0.001412353515625,0.004378662109375,0.000367431640625,0.000867919921875,0.000302734375,0.0856103515625,0.00134521484375,0.112491455078125,0.000909423828125,0.0,0.0,0.00904541015625,0.023216552734375,0.001671142578125,0.5270740683786547,-1.709183226739539
18,19,2.02,3.02,2.16,79.26471966666666,41.753175534399,136.93482633333332,65.87170419075143,62.31782975,40.8346509515354,671.0969279548913,13.460244058540743,0.2339309214223116,0.03612660481642675,0.9070141093916729,122.0100953957767,63.80525423863642,8.834616054538236,0.12349791666666662,121.96707610951763,52.95500312449388,1271.56,84.55251417322053,259.8965644353777,29.189357771817463,203.9629633636771,1316.2,53.44573466666667,72.07678383333334,4.1159763986550315,5.280251624458441,0.02894567440804324,0.01398562063537692,182.58222205496466,103.80012213936169,3644.76,0.16330322265625,0.021068115234375,0.032159423828125,5.126953125e-05,0.0,0.026435546875,0.001527099609375,0.0,0.00567138671875,0.00097412109375,0.34228271484375,0.088277587890625,0.01170654296875,0.00018798828125,0.00236328125,0.001214599609375,0.00016845703125,0.018740234375,0.001126708984375,0.00300537109375,0.000516357421875,0.002689208984375,0.000306396484375,0.08173583984375,0.001080322265625,0.114105224609375,0.00231689453125,0.000731201171875,0.0,0.018394775390625,0.030750732421875,0.000989990234375,0.5257736894782249,-1.7204648349435414
19,20,6.1,3.14,5.92,56.12858016666667,28.199085524808435,134.21185629166666,67.15746199853776,96.15643354166667,54.54322530191342,1173.702650670747,20.890768953178156,0.16442279649104674,0.035753246477156615,0.8433617872752575,120.96457226394787,63.918835665317445,9.328705955266106,0.23482254166666663,119.74180512324102,52.5729639504225,2087.02,56.734211837142595,292.6131463050237,19.633681776607013,195.45099403256899,3238.14,49.46097583333333,79.70025466666667,3.423682456531289,3.9155808181913176,0.03070718453914999,0.013618940735038965,179.85572421789027,101.92441351164925,6073.02,0.161396484375,0.04621826171875,0.11773193359375,0.063218994140625,0.0241552734375,0.000911865234375,0.00475341796875,0.00955322265625,0.00164306640625,4.7607421875e-05,0.00054443359375,0.387227783203125,0.065008544921875,0.046993408203125,2.3193359375e-05,0.0,0.000286865234375,0.001246337890625,1.0986328125e-05,3.662109375e-06,5.9814453125e-05,0.000118408203125,1.220703125e-06,8.544921875e-06,0.0,0.0,1.220703125e-06,0.03734375,0.01137939453125,0.0,0.0,0.0,0.9154167819023245,1.65993506747869
